Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-07-18,43.94712142890876,44.016645854558604,43.87760031836599,44.00795364379883,305000,0.0,0
2018-07-19,43.912358856129266,44.120928816262044,43.82545663988638,44.03402328491211,368300,0.0,0
2018-07-20,43.929746822105315,44.068792378870356,43.86891459821483,43.97319793701172,314200,0.0,0
2018-07-23,43.96450558882082,43.99057559269663,43.84284115059062,43.94712448120117,343200,0.0,0
2018-07-24,44.07748130024363,44.190453527544655,43.93843575385925,44.0861701965332,566000,0.0,0
2018-07-25,44.02533586276933,44.37295136958893,43.93843364361801,44.34687805175781,647100,0.0,0
2018-07-26,44.47723406431788,44.76401403553263,44.47723406431788,44.61627960205078,537600,0.0,0
2018-07-27,44.451169272910164,44.564141506425585,44.294742610234586,44.40771484375,477900,0.0,0
2018-07-30,44.3903374145831,44.52938296975744,44.355575197012634,44.38164520263672,443500,0.0,0
2018-07-31,44.56414369186537,44.83354591637544,44.52069257568185,44.781402587890625,504700,0.0,0
2018-08-01,44.65104704963841,44.65104704963841,44.346882621054775,44.40771484375,482200,0.0,0
2018-08-02,44.23390520206207,44.64234960440473,44.17307298649811,44.61627960205078,502100,0.0,0
2018-08-03,44.65104573631806,44.98996905711057,44.65104573631806,44.94651794433594,682900,0.0,0
2018-08-06,44.93782746994105,45.0768730252596,44.85092524103228,45.01604080200195,489900,0.0,0
2018-08-07,45.120314348178646,45.20721987333563,45.007342138134796,45.16376876831055,1283500,0.0,0
2018-08-08,45.198534176560486,45.20722638788218,45.0594886313791,45.12901306152344,429700,0.0,0
2018-08-09,45.18115967807916,45.19853747177489,45.01604080200195,45.01604080200195,429900,0.0,0
2018-08-10,44.79877678841993,44.85092010886309,44.60759124367598,44.72925567626953,553400,0.0,0
2018-08-13,44.781399564999276,44.842231786571354,44.46854624542431,44.53807067871094,520400,0.0,0
2018-08-14,44.642355682995536,44.868306784519405,44.642355682995536,44.79878234863281,362000,0.0,0
2018-08-15,44.564141599656125,44.76401937680252,44.35557492572402,44.73794937133789,554900,0.0,0
2018-08-16,45.085568739452484,45.37234876921446,45.085568739452484,45.259376525878906,489400,0.0,0
2018-08-17,45.21591748998866,45.606984140860824,45.20722859335037,45.50270080566406,595600,0.0,0
2018-08-20,45.60698085406623,45.69388638972332,45.5635297437913,45.61567306518555,574100,0.0,0
2018-08-21,45.65043715433974,45.798174924199486,45.60698603912485,45.71126937866211,441900,0.0,0
2018-08-22,45.67651166952057,45.71127057353651,45.52877389579901,45.55484390258789,478600,0.0,0
2018-08-23,45.50270708501816,45.641752656171214,45.45056375267029,45.52008819580078,457800,0.0,0
2018-08-24,45.52007558916935,45.74602333655214,45.50269448320037,45.6765022277832,376800,0.0,0
2018-08-27,45.82424253030328,45.95459918422824,45.806861422106124,45.91114807128906,668900,0.0,0
2018-08-28,45.99805128266936,46.03281349980845,45.8590057292205,45.919837951660156,453100,0.0,0
2018-08-29,45.92853006524684,46.05888673109491,45.82424672163301,45.99805450439453,398000,0.0,0
2018-08-30,45.87637939095056,45.989351605653255,45.65912054175884,45.75471496582031,484000,0.0,0
2018-08-31,45.67650853732811,45.84162409418126,45.58960299547846,45.806861877441406,428100,0.0,0
2018-09-04,45.73733448445533,45.83292890982181,45.63304784854263,45.78947448730469,483900,0.0,0
2018-09-05,45.68519753176602,46.16316641008628,45.68519753176602,46.1370964050293,567000,0.0,0
2018-09-06,46.16316739417806,46.26745404684405,46.024121839064264,46.14578628540039,495900,0.0,0
2018-09-07,46.02412414550781,46.17186191996791,45.90245969307461,46.02412414550781,456700,0.0,0
2018-09-10,46.18924429951209,46.43257321106841,46.18924429951209,46.197933197021484,539500,0.0,0
2018-09-11,46.15447271230604,46.25875603679355,46.00673496376721,46.12840270996094,550000,0.0,0
2018-09-12,46.076258448025015,46.34566062214189,46.0414962355376,46.23268508911133,508700,0.0,0
2018-09-13,46.41519448267205,46.44126449164575,46.2761489096324,46.4065055847168,456600,0.0,0
2018-09-14,46.432563420712505,46.48470674009772,46.30220677980301,46.45863342285156,452200,0.0,0
2018-09-17,46.47602104275736,46.60637770193586,46.37173770447909,46.42387771606445,550300,0.0,0
2018-09-18,46.528162591087096,46.78018368780896,46.39780593689099,46.65851593017578,452200,0.0,0
2018-09-19,46.6585176429449,46.79756319880813,46.57161541369572,46.61506652832031,744600,0.0,0
2018-09-20,46.77148814013081,47.006128111883505,46.754107033137224,46.962677001953125,640000,0.0,0
2018-09-21,47.12779443107806,47.179937754144824,47.03219999634265,47.05827331542969,564900,0.0,0
2018-09-24,46.98874515960497,46.98874515960497,46.632440767996684,46.6758918762207,610200,0.0,0
2018-09-25,46.71703339054003,46.76078345710609,46.34077680982289,46.37577819824219,690400,0.367,0
